method_a,method_b,n_sequences,mean_a,mean_b,wins_a,wins_b,ties,wilcoxon_statistic,p_value,significant_at_0_05,rank_biserial_correlation
SG,Panoptic,33,0.0816895848,0.1210923030,18,15,0,243.0000000000,0.5134843902,0,0.1336898396
SG,NGD,33,0.0816895848,0.0794852636,15,18,0,264.0000000000,0.7778494691,0,0.0588235294
Panoptic,NGD,33,0.1210923030,0.0794852636,17,16,0,272.0000000000,0.8878511484,0,-0.0303030303
