method_a,method_b,n_sequences,mean_a,mean_b,wins_a,wins_b,ties,wilcoxon_statistic,p_value,significant_at_0_05,rank_biserial_correlation
SG,Panoptic,33,0.0748659182,0.1097011667,18,15,0,260.0000000000,0.7242955030,0,0.0730837790
SG,NGD,33,0.0748659182,0.0715763848,15,18,0,242.0000000000,0.5021234467,0,0.1372549020
Panoptic,NGD,33,0.1097011667,0.0715763848,18,15,0,277.0000000000,0.9578276048,0,0.0124777184
