    209     295 169.317
    235     276 197.406
     95     225 48.7572
   159    240 116.85
    132     250 87.8499
    343     202 313.972
    323     207 292.535
    342     192 313.077
    307     245 274.794
    305     237 272.794
    296     235 263.213
    306     222 274.128
    286     215 252.887
    276     227 241.986
    269     212 234.783
    245     224 208.931
    394     321 366.452
    368     313 338.824
    371     296 342.306
    375     357 345.567
   188    236 147.88
    181     237 140.391
    197     224 157.669
    347     307 316.489
    335     298 303.823
    105     268 58.7037
   380    343 351.14
    361     339 330.902
    393     334 365.164
    373     332 343.845
    344     291 313.559
    348     276 318.082
    338     281 307.302
    331     359 298.559
    223     226 185.406
    128     258 83.4069
    103     263 56.6501
    129     240 84.8011
    101     248 54.7572
    200     136 163.801
    283     209 249.777
    278     210 244.415
   91   133 47.71
    156     169 116.357
     79     229 31.5504
     49      60 4.20717
    77     33 34.492
    151      54 112.977
  113    22 73.04
     70      84 26.1884
    100     101 57.8504
    619     176 603.802
    574     180 561.406
    613     142 597.744
    576     188 563.413
    358     175 330.452
    325     179 295.127
    376     230 348.752
    331     227 300.743
    398     239 371.958
    318     285 285.871
    244     247 207.504
    222     339 182.474
    231     302 192.686
    317     300 284.559
    281     302 246.096
    596     395 580.843
   604    245 586.41
    571     255 553.699
    568     329 552.562
    368     293 339.161
    380     255 352.603
    322     265 290.504
    403     337 375.808
    544     335 523.788
    258     100 226.178
    233      72 200.024
    265      47 234.535
    325      58 298.262
 302.4  254.4 269.72
  319.2   242.4 287.877
  292.8     246 259.577
  157.2     240 114.872
 140.4  247.2 96.827
  346.8     306 316.242
    360   340.8 329.811
  393.6   333.6 365.784
  373.2   333.6 344.024
    342   291.6 311.419
 346.8  274.8 316.77
  326.4   278.4 294.929
  243.6   220.8 207.466
    222   223.2 184.406
190.8 237.6 150.8
  195.6   224.4 156.152
  177.6   224.4 136.908
  128.4     258 83.8069
  112.8   259.2 67.1379
    132   249.6 87.8499
  100.8   247.2 54.5037
  117.6    93.6 76.7002
  541.2    58.8 528.485
  199.2   136.8 162.935
   49.2      60 4.40717
   76.8    32.4 34.2468
    396   232.8 369.941
  517.2   393.6 495.729
  536.4   375.6 515.021
  151.2      54 113.177
  100.8    37.2 59.7322
  573.6     180 561.006
    612   142.8 596.744
   92.4   248.4 45.5616
  399.6   379.2 370.906
  567.6   328.8 546.547
  595.2   394.8 579.991
  615.6   352.8 602.459
   79.2   230.4 31.7504
  403.2   280.8 376.953
  369.6   166.8 342.951
  369.6   146.4 342.772
  313.2     336 279.894
  307.2   297.6 274.142
  249.6   310.8 212.391
 165.6  238.8 123.89
  226.8   268.8 188.705
  243.6   247.2 207.037
    222   339.6 182.474
  375.6   230.4 348.278
  331.2   226.8 300.966
  369.6     192 342.518
  328.8     198 298.837
  376.8   243.6 349.327
  316.8     294 284.411
  255.6   280.8 219.302
    270     252 235.187
 284.4  214.8 251.15
  267.6   212.4 233.236
  316.8   211.2 285.768
  273.6     204 239.788
  244.8   211.2 208.893
    174   207.6 133.391
  382.8   316.8 354.531
  375.6     360 346.101
 543.6  334.8 526.44
    264    46.8 233.489
  232.8      72 199.769
     78   159.6 33.4069
 339.84  313.92 308.687
 347.04  306.72 316.552
384.48  338.4 355.97
 380.16  328.32 351.548
 241.92  227.52 205.523
 211.68  231.84 173.181
 243.36  220.32 207.226
 221.76  221.76 184.131
  345.6  292.32 315.205
 328.32  282.24 296.923
 347.04  275.04 317.055
 325.44  279.36 293.894
  99.36  257.76 52.8484
  129.6     252 85.2049
190.08  237.6 150.08
188.64 226.08 148.68
 594.72  394.56 579.441
 574.56  391.68 558.444
    576   187.2 563.409
 573.12     180 560.526
 610.56  145.44 595.339
 537.12   374.4 515.707
 420.48  285.12 394.839
 400.32  247.68 374.312
   79.2  228.96 31.8066
  439.2   345.6 413.851
401.76  338.4  374.4
 567.36  332.64 545.901
 260.64  161.28 226.038
 249.12  311.04 211.876
 355.68  174.24 327.941
 370.08  146.88 343.324
593.28 282.24 575.09
 601.92   244.8 589.238
 570.24     252 553.182
 227.52  269.28 189.497
 231.84  264.96 194.175
 178.56  240.48 137.702
 156.96  239.04 114.587
 119.52  239.04 74.6266
 210.24  296.64 170.597
 200.16  303.84 159.715
 391.68  285.12 364.525
  374.4  241.92 346.814
  331.2   244.8 300.666
 313.92  292.32 281.347
 250.56  270.72 214.064
 318.24  241.92 286.867
 375.84   230.4 348.518
 283.68  214.56 250.374
 253.44  221.76 217.979
 118.08  277.92 72.5219
    144  249.12 100.663
 391.68  321.12 363.941
 400.32  234.72 374.295
342.144 292.032  311.54
 328.32 281.664 296.947
324.864 279.936 293.268
 198.72 235.008 159.272
 190.08 236.736  150.08
205.632 221.184  166.91
191.808  224.64 152.086
127.872 257.472 83.2291
 112.32 260.928 66.6057
  129.6 252.288 85.2049
119.232 240.192 74.3386
594.432 393.984 579.171
516.672 393.984 495.224
533.952 347.328 515.926
  604.8 340.416 591.484
566.784 333.504 545.313
393.984 381.888  364.83
406.08 371.52 377.99
402.624 281.664 376.291
 79.488 229.824 32.0384
601.344 245.376 583.862
 570.24 252.288 553.182
438.912   345.6 413.483
402.624 338.688 375.339
271.296 186.624 237.626
281.664 160.704 248.524
100.224 254.016 53.8203
307.584 297.216 274.526
248.832  311.04 211.519
369.792 167.616 343.108
355.968 174.528 328.229
 371.52  146.88 344.853
228.096 269.568 190.145
245.376 248.832 208.913
177.984 240.192 137.042
150.336 236.736 107.647
105.408  224.64 59.8499
222.912 305.856 183.926
314.496 292.032 281.976
 250.56 269.568 214.097
305.856  241.92 273.598
269.568 248.832 234.755
297.216 238.464 264.456
 250.56 214.272 215.004
316.224 210.816  285.24
274.752  207.36 240.968
376.704 231.552 349.438
349.056 226.368 320.028
366.336 196.992 338.976
335.232 200.448 305.712
392.256  285.12 365.174
374.976  241.92  347.39
331.776 245.376 301.218
212.544 231.552 174.119
243.648 212.544 207.644
374.976 357.696 345.478
381.888 314.496 353.579
  345.6  293.76 315.182
143.424 248.832  100.04
 397.44  233.28 371.364
573.696 148.608 558.771
  561.6 110.592 548.845
128.563 257.126 84.0198
111.974   259.2 66.2078
134.784 242.611 90.8762
120.269 240.538 75.4258
215.654 234.317 177.377
244.685 219.802 208.649
232.243 215.654 195.445
275.789  207.36 242.062
265.421 211.507 230.938
275.789 201.139 242.147
211.507  230.17 173.046
 178.33 238.464 137.472
 207.36 221.875  168.75
192.845 223.949 153.202
572.314 250.906 555.393
564.019 109.901 548.942
595.123 393.984 579.937
402.278  282.01 375.928
80.8704 228.096 33.5331
402.278 337.997 375.012
  259.2 161.741 224.508
170.035  230.17 128.798
107.827 223.949 62.4243
371.174 167.962 344.632
356.659 174.182 328.978
373.248 147.226 346.688
 93.312 242.611 46.6376
223.949 302.746 185.114
201.139 304.819 160.776
228.096 267.494 190.181
232.243 263.347 194.649
 178.33 244.685 137.388
377.395 271.642 349.521
325.555 277.862 294.059
375.322 240.538  347.83
252.979 267.494 216.682
 288.23 242.611 254.786
269.568 246.758 234.785
377.395  230.17 350.221
348.365 223.949 319.316
367.027 194.918 339.761
335.923 199.066 306.403
298.598  236.39 265.945
275.789 228.096 241.717
317.261 209.434 286.349
381.542 327.629 353.012
352.512 337.997 321.861
383.616 313.114 355.447
346.291 292.378 315.965
143.078 246.758 99.7415
 391.91 381.542 362.628
375.322 356.659  345.91
599.271 317.261  586.06
439.603 344.218 414.271
543.283 60.1344 530.544
576.461 147.226 561.298
418.038 320.993 392.148
390.666 308.552 363.061
393.155 283.669 366.164
271.227 186.624 237.557
258.785 161.741 224.033
393.155 380.713 364.021
437.944 345.877  412.45
169.206 231.414 127.883
144.323  236.39 101.219
308.552  296.11 275.576
106.998 268.739  60.755
92.0679 243.855 45.2842
226.437 268.739 188.342
 355.83 176.671 328.052
350.853 189.112 322.525
373.248 149.299 346.652
373.248 261.274 345.276
320.993 263.762 289.373
383.201 313.528 355.032
345.877 293.622 315.458
161.741 241.367  119.68
121.928 241.367 77.1349
318.505 286.157 286.376
251.32 266.25 214.99
288.645 246.344 255.144
 266.25 256.297 231.101
298.598  236.39 265.945
263.762 226.437 228.888
316.017 209.019 285.033
 281.18 213.996 247.735
221.461 221.461 183.831
209.019 228.925 170.446
243.855 211.507 207.884
378.225 231.414 351.088
  340.9 238.879 311.071
363.295 211.507 335.478
335.923 201.554 306.359
572.314  251.32 555.271
537.477  370.76 516.189
 562.36 109.486 547.424
398.131 233.902 372.022
79.6263 228.925 32.2329
574.802 146.811  559.77
244.851 250.823 208.288
170.201 241.865  128.75
128.397 256.795 83.8539
161.243 235.893 119.314
143.327 235.893 100.131
370.262 170.201 343.613
352.346 176.173 324.355
373.248 149.299 346.652
292.626 274.711 258.928
280.683 265.753 246.318
286.655 247.837 252.984
265.753 256.795  230.51
382.206 313.528 353.977
  319.5 295.612 287.294
220.963 220.963 183.263
209.019 226.935 170.483
247.837 212.005 212.122
295.612 238.879 262.718
262.767 226.935 227.832
316.514 209.019 285.531
280.683 197.075  247.46
343.388 277.697 313.108
373.248 262.767 345.256
  319.5 244.851 288.128
376.234 232.907 348.949
373.248 214.991 346.056
337.416 200.061 308.004
415.052   319.5 388.959
573.309 253.809 556.083
576.295 388.178 560.333
92.5655 241.865 45.8365
80.6216 229.921 33.2843
277.697 161.243 244.252
531.505 104.509 517.436
229.324 272.322 191.373
250.823 261.572 214.492
279.488 193.492 246.266
257.989 161.243 223.176
365.485 340.402 335.656
293.821  236.49 260.818
265.155 229.324 230.373
 315.32 207.825 284.312
279.488 211.408 245.959
265.155 254.406 229.944
376.234 265.155 348.418
372.651 240.073 344.969
  383.4 311.737 355.271
  383.4 229.324 356.645
354.735  236.49 325.896
372.651 211.408  345.44
336.819 200.658 307.364
390.567 308.154 362.962
 562.56 329.653 541.595
121.828 240.073 77.0854
214.991 293.821 175.698
354.735 175.576 326.899
161.243  236.49  119.27
82.4132 229.324 35.1877
207.825  225.74 169.177
