sequence,ROVK-RMSE,Panoptic-RMSE,ROVK-MEAN,Panoptic-MEAN,ROVK-STD,Panoptic-STD
rgbd_dataset_freiburg2_desk_with_person ,0.0067041,0.0129,0.0058766,0.0121,0.0032213,0.00446
rgbd_dataset_freiburg3_sitting_halfsphere ,0.0156642,0.0175078,0.013689,0.0153528,0.0075986,0.0084099
rgbd_dataset_freiburg3_sitting_rpy ,0.0205067,0.0350197,0.0166079,0.0243069,0.0120047,0.025181
rgbd_dataset_freiburg3_sitting_static ,0.0073413,0.00698,0.0063594,0.00599,0.0036637,0.00359
rgbd_dataset_freiburg3_sitting_xyz ,0.0097365,0.0133,0.0081907,0.01189,0.0052609,0.00596
rgbd_dataset_freiburg3_walking_halfsphere ,0.0251061,0.02693,0.0213458,0.02353,0.0131783,0.01309
rgbd_dataset_freiburg3_walking_rpy ,0.0324406,0.03801,0.0261142,0.02893,0.019247,0.02451
rgbd_dataset_freiburg3_walking_static ,0.0090751,0.0116,0.0070547,0.00998,0.0056306,0.00578
rgbd_dataset_freiburg3_walking_xyz ,0.0151955,0.01463,0.0126546,0.01269,0.0084075,0.00728
