sequence,ROVK-RMSE,NGD-RMSE,ROVK-MEAN,NGD-MEAN,ROVK-STD,NGD-STD
rgbd_dataset_freiburg2_desk_with_person ,0.0067041,0.01656,0.0058766,0.01583,0.0032213,0.00485
rgbd_dataset_freiburg3_sitting_halfsphere ,0.0156642,0.0189926,0.013689,0.0163576,0.0075986,0.0096378
rgbd_dataset_freiburg3_sitting_rpy ,0.0205067,0.0465538,0.0166079,0.0286528,0.0120047,0.0364991
rgbd_dataset_freiburg3_sitting_static ,0.0073413,0.00703,0.0063594,0.00617,0.0036637,0.00338
rgbd_dataset_freiburg3_sitting_xyz ,0.0097365,0.024,0.0081907,0.0223,0.0052609,0.0113
rgbd_dataset_freiburg3_walking_halfsphere ,0.0251061,0.0262,0.0213458,0.02266,0.0131783,0.01314
rgbd_dataset_freiburg3_walking_rpy ,0.0324406,0.06568,0.0261142,0.04015,0.019247,0.05122
rgbd_dataset_freiburg3_walking_static ,0.0090751,0.00722,0.0070547,0.00627,0.0056306,0.00356
rgbd_dataset_freiburg3_walking_xyz ,0.0151955,0.01594,0.0126546,0.01381,0.0084075,0.00794
